text,intent
mostrame los .txt que haya en backup/,listarTipo
eh ver el contenido de documento.pdf,leerPDF
seria bueno si pasa reporte.docx dentro de backup/,mover
necesito duplica informe.docx dentro de docs/,copiar
trasladar la carpeta reportes/ a respaldo/,movdic
che agrega calculo donde diga hola en plan.txt,modificaDondeDice
quiero pasa informe.docx a seguridad/,copiar
haceme producir nuevo.txt,crea
necesito reubicar la carpeta imagenes/ a backup/,movdic
eh genera el archivo diario.txt,crea
dale localiza reporte.docx,buscarArchivo
necesito abri reporte.txt,leerArchivo
quiero consultar reporte.txt,leerArchivo
porfa sustitui resumen con nuevo dato en plan.txt,reemplazar
seria bueno si borra log.txt que ya no sirve,eliminARchivo
che encontrar la carpeta documentos,buscarCarpeta
haceme el favor de mostrame los .csv que haya en proyectos/,listarTipo
cuando puedas leer el contenido de reporte.pdf,leerPDF
eh localiza plan.pdf,buscarArchivo
eh copiar la carpeta reportes/ en respaldo/,dupdic
eh agrega informacion actualizada donde diga hola en plan.txt,modificaDondeDice
por favor reemplaza mundo por planeta en plan.txt,reemplazar
eh mover plan.txt a proyectos/,mover
podes localiza la carpeta documentos,buscarCarpeta
traslada imagenes/ hacia backup/,movdic
por favor escribi calculo despues de resumen en reporte.txt,modificaDondeDice
PASA DOCUMENTO.PDF A TXT,PDFaTexto
quiero transformar reporte.pdf a texto,PDFaTexto
eh  borra  lo  que  diga  resumen  en  reporte.txt,sacarLoQueDice
dale escribi nuevo resumen despues de hola en notas.txt,modificaDondeDice
cuando puedas transforma informe.txt en un pdf,archivoAaPDF
cuando puedas renombra plan.txt a plan_2025.txt,renombrar
por favor agrega nuevo resumen donde diga resumen en notas.txt,modificaDondeDice
che mostrame los .txt que haya en proyectos/,listarTipo
haceme el favor de encontra el archivo reporte.docx,buscarArchivo
dale encontra el archivo reporte.docx,buscarArchivo
por favor ponele reporte_final.docx a plan.txt,renombrar
haceme el favor de traslada notas.txt hacia docs/,mover
quiero duplica proyectos/ a backup/,dupdic
quiero buscar la carpeta documentos,buscarCarpeta
porfa genera el archibo reporte.docx,crea
necesito mostrame el contenido de notas.txt,leerArchivo
podes encontra el archivo informe.txt,buscarArchivo
necesito quiero leer notas.txt,leerArchivo
quiero lista los archivos .pdf dentro de proyectos/,listarTipo
quiero genera el archibo nuevo.txt,crea
haceme el favor de escribi adios despues de total en plan.txt,modificaDondeDice
cuando puedas borra basura.pdf que ya no sirve,eliminARchivo
haceme el favor de elimina la palabra total de notas.txt,sacarLoQueDice
hace una copia de proyectos/ dentro de respaldo/,dupdic
cuando puedas pasa plan.txt a seguridad/,copiar
podes buscar la carpeta documentos,buscarCarpeta
eh pone adios donde dice resumen dentro de reporte.txt,modificaDondeDice
necesito reemplaza mundo por chau en notas.txt,reemplazar
necesito eliminar el archivo viejo.txt,eliminARchivo
podes move notas.txt al directorio proyectos/,mover
eh hace una copia de proyectos/ dentro de archivos/,dupdic
DALE EXTRAE EL TEXTO DE REPORTE.PDF,leerPDF
cuando puedas traslada plan.txt hacia backup/,mover
quiero genera el archivo notas.txt,crea
por favor mostrar informe.txt,leerArchivo
eh inserta informacion actualizada antes de total en notas.txt,modificaDondeDice
porfa ponele reporte_final.docx a datos.csv,renombrar
che traslada plan.txt hacia docs/,mover
quiero saca basura.pdf,eliminARchivo
quiero saca todo lo que diga resumen en notas.txt,sacarLoQueDice
che pone calculo donde dice resumen dentro de plan.txt,modificaDondeDice
necesito sustitui mundo con nuevo dato en plan.txt,reemplazar
por  favor  localizar  el  archivo  llamado  informe.txt,buscarArchivo
haceme el favor de renombrar notas.txt por dataset.csv,renombrar
borra basura.pdf que ya no sirve,eliminARchivo
seria bueno si copiar la carpeta reportes/ en archivos/,dupdic
seria bueno si duplica reportes/ a archibos/,dupdic
converti documento.pdf en texto plano,PDFaTexto
podes haceme generar diario.txt,crea
abri notas.txt,leerArchivo
renombra plan.txt a plan_2025.txt,renombrar
eh lista los archivos .pdf dentro de backup/,listarTipo
eh sacar log.txt,eliminARchivo
DALE MOSTRAME EL CONTENIDO DE INFORME.TXT,leerArchivo
dale mostrar todos los archivos .txt en backup/,listarTipo
por favor genera el archibo diario.txt,crea
dale hacer un archivo llamado notas.txt,crea
saca todo lo que diga hola en plan.txt,sacarLoQueDice
seria bueno si ponele notas_nuevo.txt a plan.txt,renombrar
che necesito hacer un nuevo archivo notas.txt,crea
necesito haceme escribir notas.txt,crea
haceme el favor de traslada notas.txt hacia docs/,mover
por favor converti informe.pdf en texto plano,PDFaTexto
podes localizar reporte.docx en todo el disco,buscarArchivo
eh pasa informe.docx a seguridad/,copiar
hace texto de reporte.pdf,PDFaTexto
seria bueno si localizar el archivo llamado reporte.docx,buscarArchivo
che converti informe.txt en formato pdf,archivoAaPDF
che necesito escribir un nuevo archivo nuevo.txt,crea
por favor quita resumen del archivo reporte.txt,sacarLoQueDice
podes listar todos los archivos .pdf en docs/,listarTipo
haceme el favor de buscar todos los archivos .txt en proyectos/,listarTipo
eh genera el archivo nuevo.txt,crea
dale cambia la palabra resumen por chau en reporte.txt,reemplazar
quiero ver todos los archivos .csv en backup/,listarTipo
cambia el nombre de datos.csv a plan_2025.txt,renombrar
porfa lista los archivos .pdf dentro de docs/,listarTipo
seria bueno si leer el archivo notas.txt,leerArchivo
por favor genera el archivo notas.txt,crea
seria bueno si borra lo que diga hola en reporte.txt,sacarLoQueDice
elimina la palabra total de reporte.txt,sacarLoQueDice
por favor borra lo que diga total en notas.txt,sacarLoQueDice
dale hace un pdf con informe.txt,archivoAaPDF
cuando puedas mover reporte.docx a docs/,mover
podes reubicar la carpeta reportes/ a backup/,movdic
che verificar reporte.docx en todo el disco,buscarArchivo
pasa informe.docx a seguridad/,copiar
pasa plan.txt dentro de docs/,mover
che duplica datos.csv dentro de docs/,copiar
podes duplica plan.txt dentro de backup/,copiar
haceme el favor de reemplaza dato por planeta en reporte.txt,reemplazar
seria bueno si quita resumen del archivo plan.txt,sacarLoQueDice
podes traslada plan.txt hacia docs/,mover
cuando puedas cambia el nombre de plan.txt a dataset.csv,renombrar
PORFA MOSTRAME EL CONTENIDO DE REPORTE.TXT,leerArchivo
quiero reemplaza dato por nuevo resumen en plan.txt,reemplazar
podes haceme crear diario.txt,crea
quiero mover notas.txt a backup/,mover
che agrega adios donde diga dato en notas.txt,modificaDondeDice
quiero mostrar reporte.txt,leerArchivo
podes quiero generar diario.txt,crea
haceme el favor de pasa informe.docx a seguridad/,copiar
quiero hacer nuevo.txt,crea
por favor converti reporte.pdf en texto plano,PDFaTexto
cuando puedas localiza plan.pdf,buscarArchivo
dale hace un pdff con reporte.txt,archivoAaPDF
dale traslada notas.txt hacia backup/,mover
traslada plan.txt hacia backup/,mover
por favor quiero remover basura.pdf,eliminARchivo
porfa encontrar informe.txt en todo el disco,buscarArchivo
